correct_spelling,wrong_spelling,symspell_correction,bert_correction,lstm_cnn_correction
chauffeur,chauffuer,chauffeur,chauffeur,chauffeur
chemistry,chemsitry,chemistry,chemistry,chemistry
chief,cheif,chief,chief,chief
choir,chior,choir,choir,choir
choose,cheoos,cheops,schools,school
circling,cirlcing,circling,circling,building
circling,crciling,cycling,cycling,crciling
clear,claer,clear,clear,clear
client,cleint,client,client,client
cloth,colth,cloth,cloth,cold
collapsed,collasped,collapsed,collapsed,collapsed
collateral,colelatral,collateral,collateral,collateral
collateral,collatarel,collateral,collateral,collateral
colonel,colneol,cornell,council,counsel
committees,commetties,committees,committees,committees
communicate,comminucate,communicate,communicate,communicate
communicate,communciate,communicate,communicate,communciate
comparatively,compariatvely,comparatively,comparatively,comparatively
comparatively,comparitavely,comparatively,comparatively,comparatively
comparisons,compariosns,comparisons,comparisons,comparisons
completion,compeltion,completion,completion,competition
conceive,concieve,conceive,conceive,conceived
conceived,concieved,conceived,conceived,conceived
conclude,conclued,concluded,conclude,concluded
conditions,condistion,condition,conditions,conditions
conditions,conditoins,conditions,conditions,conditions
congratulations,congralutations,congratulations,congratulations,congratulations
congratulations,congratalutions,congratulations,congratulations,congratulations
conscience,conciences,consciences,conciences,consciences
conscience,concsience,conscience,conscience,conscience
conscience,consceince,conscience,conscience,conscience
conscience,consicence,conscience,conscience,coincidence
conscientious,conscietinous,conscientious,conscientious,conscietinous
continuous,contunious,continuous,continuous,continuous
conveniently,conivenently,conveniently,conveniently,conveniently
conveniently,conveinently,conveniently,conveniently,conveniently
conveniently,convienently,conveniently,confidently,conveniently
corn,cron,iron,corn,crown
countenance,countanence,countenance,countenance,countenance
courtesies,courseties,courtesies,courseties,courseties
courtesy,coursety,course,courtesy,courtesy
courtesy,courtsey,courtesy,courtesy,courtesy
cradle,cradel,cradle,cradle,crashed
cricket,creckit,credit,cricket,cricket
cried,cride,crime,cried,crude
criticism,critisicm,criticism,criticism,criticism
crossing,corssing,crossing,crossing,crossing
curiosity,courisity,curiosity,curiosity,curiosity
curiosity,curisioty,curiosity,curiosity,curiosity
curious,curoius,curious,curious,curious
curtain,curtian,curtain,curtain,curtain
curtains,curtians,curtains,curtains,curtains
customary,costumary,customary,customary,customary
customary,custamory,customary,customary,customary
customer's,costumer's,costumers,customer ' s,customer 's
customer's,customers',customers,customers ',customers '
damaged,damadge,damage,damage,damage
dangerous,dangrouse,dangerous,dangerous,dangerous
dark,drak,dark,drank,drank
date,deat,death,debt,death
debit,dibet,diet,diabetes,debit
deceive,decieve,deceive,deceive,deceive
dedicated,dedciated,dedicated,dedicated,dedicated
delivered,delieverd,delivery,delivered,delivered
designed,desinged,designed,designed,designed
deuce,duece,deuce,deuce,deuce
diamond,daimond,diamond,diamond,diamond
didn't,did'nt,didn't,did ' nt,didnt
died,deid,did,died,dead
died,dide,did,wide,wide
direction,directoin,direction,direction,direction
dirt,drit,dirt,dirt,dirt
disaggregate,disaggreagte,disaggregated,aggregate,disaggreagte
disappoint,disappiont,disappoint,disappointed,disappoint
disappointment,disappiontment,disappointment,disappointment,disappointment
discretion,descrition,description,descriptions,description
ditch,dicth,ditch,ditch,ditch
dodged,dogded,dogged,dogged,dodged
done,doen,does,down,down
done,odne,one,done,one
dormitory,dorimtory,dormitory,dormitory,dormitory
down,donw,down,dont,done
down,dwon,down,down,down
drift,dirft,dirt,drift,dirt
driven,dirven,driven,driven,driven
driven,divern,divers,driven,driven
drum,durm,drum,drum,firm
eastern,eastren,eastern,eastern,eastern
economic,ecomonic,economic,economic,economic
economical,eaconomicl,economic,economics,economic
economical,ecomonical,ecological,economical,economical
economical,econcomial,economical,economical,economic
economics,ecomonics,economics,economics,economics
edge,egde,edge,edge,edge
edge,eged,aged,aged,edge
efficiency,efficeincy,efficiency,efficiency,efficiency
elementary,elemantery,elementary,elementary,elementary
employees,employese,employees,employees,employees
employees,empolyees,employees,employees,employees
employer,empolyer,employer,employer,employers
employment,empolyment,employment,employment,employment
enemies,emenies,enemies,enemies,enemies
enemy,emeny,emery,enemy,enemy
enemy,enmey,enemy,enemy,enemy
engine,engein,engin,engaging,engineer
engine,enigne,engine,engine,engine
engineers,egnineers,engineers,engineers,engineers
enquire,enquier,enquire,enquire,enquiries
enthusiasm,enthuasism,enthusiasm,enthusiasm,enthusiasm
enthusiasm,enthusasim,enthusiasm,enthusiasm,enthusiasm
enthusiastic,inthuseastic,enthusiastic,enthusiastic,enthusiastic
entirely,entierly,entirely,entirely,entirely
entry,netry,entry,entry,entry
epistle,epislte,epistle,experts,opposite
epistle,epistel,epistle,epistel,special
equally,eqaully,equally,equally,equally
equivalent,equivelant,equivalent,equivalent,equivalent
especially,espeacilly,especially,especially,especially
especially,especailly,especially,especially,especially
especially,espeically,especially,especially,especially
especially,espiecally,especially,especially,especially
establishing,asteblishing,establishing,establishing,establishing
etc,ect,act,ect,ect
every,evrey,every,every,every
exactly,excatly,exactly,exactly,exactly
examination,examiantion,examination,examination,examination
exceed,excede,exceed,exceed,exceed
exhibition,exibhition,exhibition,exhibition,exhibition
exists,exsist,exist,exist,exist
exists,exsits,exists,exists,exists
experience,expeirence,experience,experience,experience
experience,expierence,experience,experience,experience
explained,eixplaned,explained,explained,explained
express,experss,express,express,experts
extraordinary,extarordinary,extraordinary,extraordinary,extraordinary
extraordinary,extroardinary,extraordinary,extraordinary,extraordinary
extremely,extreemly,extremely,extremely,extremely
fairy,fariy,fairy,fairly,fairy
false,fales,sales,false,false
family,famliy,family,family,family
fascinating,facisnating,fascinating,fascinating,fascinating
field,feild,field,field,field
field,filde,file,fielded,field
field,filed,filed,filed,filed
field,flied,flied,field,field
fielder,fiedler,fiedler,fiedler,fiedler
fields,fileds,files,fields,fields
fierce,feirce,fierce,fierce,fierce
fiery,firey,fire,fiery,fire
fight,figth,fight,fights,fifth
fight,ftigh,high,fight,flight
fighting,figthing,fighting,fighting,fighting
film,flim,film,film,film
financially,finanically,financially,financially,financially
financially,finiancally,financially,financially,financially
fire,fier,fire,fire,fire
fire,frie,free,free,free
firstly,fisrtly,firstly,firstly,firstly
flexibility,felxibility,flexibility,flexibility,flexibility
flight,filght,flight,flight,flight
flourishes,fluorishes,flourishes,flourishes,flourishes
folk,fokl,folk,folk,folk
folly,floly,folly,fully,fly
foreign,foriegn,foreign,foriegn,foreign
forgot,frogot,forgot,forgot,front
form,fomr,for,from,from
formed,fromed,formed,formed,formed
fountain,fountian,fountain,fountain,foundation
freezing,frezeing,freezing,freezing,freezing
freight,frieght,freight,freight,freight
friend,firend,friend,friends,fired
friend,freind,friend,friends,friends
friend,frenid,friend,frenzied,friends
friend,frined,friend,fringed,friend
friendly,freindly,friendly,friendly,friendly
friends,firends,friends,friends,friends
friends,freinds,friends,friends,friends
friends,frindes,fringes,friends,friends
friends,frineds,friends,friends,friends
friendship,freindship,friendship,friendship,friendship
frog,forg,for,frog,for
frost,forst,first,first,first
fruit,friut,fruit,fruit,fruit
fruit,fuirt,flirt,fruit,first
fruit,furit,fruit,fruit,fruit
fuel,fule,full,fuel,fuel
further,furhter,further,further,further
gallery,gallrey,gallery,gallery,gallery
gallery,garlley,galley,gallery,gallery
galloped,gollaped,collapsed,collapsed,collapsed
galvanized,galvanzied,galvanized,galvanized,galvanzied
galvanized,galvinazed,galvanized,galvanized,galvinazed
gauge,guage,gauge,guage,guard
gears,gares,games,gears,games
genius,genuis,genius,genius,genius
gentle,gentel,gentle,gentle,gentle
gentleman,gentelman,gentleman,gentleman,gentleman
gentlemen,gentelmen,gentlemen,gentlemen,gentlemen
geometry,gemeotry,geometry,geometry,geometry
geometry,geomtery,geometry,geometry,geometry
giant,gaint,saint,against,giant
girl,gril,girl,girls,girls
girls,grils,girls,girls,girls
goes,gose,goes,goes,goes
golden,gloden,golden,golden,golden
gorgeous,georgous,gorgeous,gorgeous,gorgeous
gorgeous,goregous,gorgeous,gorgeous,gorgeous
gorgeous,gorgouse,gorgeous,gorgeous,gorgeous
grade,gread,read,grade,greed
gradually,graadully,gradually,gradually,gradually
gradually,gradullay,gradually,gradually,gradually
grandeur,granduer,grandeur,grandeur,grandeur
grateful,greatful,grateful,greatful,grateful
great,geart,heart,great,heart
great,graet,great,great,great
greater,gretaer,greater,greater,greater
greatly,grately,gravely,greatly,greatly
grief,greif,grief,grief,grief
grieve,greive,grieve,grieving,grieve
guarantee,garanutee,guarantee,guarantee,guarantee
guarantee,garauntee,guarantee,guarantee,guarantee
guarantee,garuantee,guarantee,guarantee,guarantee
guarantee,gaurantee,guarantee,guaranteed,guarantee
guaranteed,garaunteed,guaranteed,guarantee,guaranteed
guaranteed,garuanteed,guaranteed,guaranteed,guaranteed
guaranteed,gauranteed,guaranteed,guaranteed,guaranteed
guard,gaurd,guard,guard,guard
guardian,gaurdian,guardian,guardian,guardian
guardian,guardain,guardian,guardian,guardian
guarding,gaurding,guarding,guarding,guarding
guards,gaurds,guards,guards,guards
guildhall,giuldhall,guildhall,giuldhall,giuldhall
hair,hiar,hair,here,hair
half,hlaf,half,half,half
handle,handel,handel,handle,handle
happiest,happeist,happiest,happiest,happiest
hardware,hardwear,hardware,hardware,hardware
head,haed,had,had,had
headmistress,headmisstres,headmistress,headmistress,headmisstres
heavy,havey,have,heavy,have
hedge,hegde,hedge,hedge,hedge
height,heigth,height,height,height
height,hieght,height,height,height
heightened,hieghtened,heightened,heightened,heightened
heinous,hienous,heinous,heinous,heinous
here,hree,free,three,free
herself,herslef,herself,herself,herself
hierarchy,heirarchy,hierarchy,hierarchy,hierarchy
history,histroy,history,history,history
holiday,hoilday,holiday,holiday,holiday
homely,homley,holley,homely,homley
honest,hoenst,honest,honest,honest
horse,hores,homes,horses,horses
hose,hoes,hoes,holes,holes
hotel,hotle,hotel,hotel,hotel
house,houes,house,hours,house
hundred,hunderd,hundred,hundred,hundred
hygiene,hygeine,hygiene,hygiene,hygiene
idle,idel,idea,ideal,ideal
illustration,illustartion,illustration,illustration,illustration
imagination,imaginaiton,imagination,imagination,imagination
immediately,immediatley,immediately,immediately,immediately
immensely,immensley,immensely,immensely,immensely
important,importnat,important,important,important
incident,incedint,incident,incident,incident
incidentally,incedintally,incidentally,incidentally,incidentally
include,inclued,include,included,included
inconceivable,inconcievable,inconceivable,inconceivable,inconceivable
inconvenience,inconveinence,inconvenience,inconvenience,inconvenience
inconvenience,inconveneince,inconvenience,inconvenience,inconvenience
inconvenience,inconvienence,inconvenience,inconvenience,inconvenience
inconvenient,inconvienent,inconvenient,inconvenient,inconvenient
indian,indain,indian,disdain,industry
individual,individula,individual,individual,individual
inevitably,ineviatbly,inevitably,inevitably,inevitably
influence,infulence,influence,influence,influence
information,infromation,information,information,information
initials,initails,initials,initials,details
innocent,inoncent,innocent,innocent,innocent
instruments,instrumenst,instruments,instruments,instruments
instruments,instrusment,instrument,instruments,instrument
instruments,insturments,instruments,instruments,instruments
interest,insteret,internet,interest,interest
international,niternational,international,international,international
interpret,interprte,interpret,interpret,interpret
interview,interveiw,interview,interview,interview
iron,iorn,porn,iron,iron
irrelevant,irrelavent,irrelevant,irrelevant,irrelevant
irrelevant,irrevelant,irrelevant,irrelevant,irrelevant
irresistible,irrisestible,irresistible,irresistible,irresistible
isn't,is'nt,isn't,is ' nt,is'nt
item,tiem,time,team,time
itself,itslef,itself,itself,itself
jaguar,jagaur,jaguar,jaguar,jaguar
jewelry,jewlery,jewellery,jewelry,jewelry
jobcentre,jobcenter,jobcenter,jobcenter,jobcenter
join,jion,join,joined,joined
judgement,jugdement,judgement,judgement,judgment
juice,jucie,juice,juice,juice
junior,jiunor,minor,junior,junior
junior,jounir,junior,junior,junior
junior,juinor,junior,junior,junior
junior,junoir,junior,junior,junior
kaleidoscope,kaliedoscope,kaleidoscope,kaleidoscope,kaliedoscope
kettle,kettel,kettle,kettle,kettle
khaki,kahki,khaki,khaki,kahki
kindergarten,kintergarden,kindergarten,kindergarten,kindergarten
knife,kinfe,knife,knives,knife
know,kown,own,known,known
label,lable,table,lable,label
laboratory,labarotory,laboratory,laboratory,laboratory
language,langauge,language,language,language
large,lagre,large,large,large
last,lats,lats,last,last
latest,lastet,lasted,last,last
latest,latets,latest,latest,latest
league,leauge,league,league,league
left,lfet,left,left,left
leisure,lesiure,leisure,leisure,leisure
leisure,lesuire,require,pressure,leisure
leisure,liesure,leisure,leisure,leisure
length,lenght,length,left,light
level,levle,level,level,level
license,lisence,licence,license,licence
lies,lise,like,lies,life
lights,ligths,lights,lights,lights
list,lits,its,list,lets
lists,lsits,lists,lists,lists
literally,literlaly,literally,literally,literally
little,littel,little,little,little
loaned,laoned,loaned,loaned,loaned
lodge,lodeg,lodge,loaded,lodge
lodge,logde,lodge,lodge,lodge
lodge,loged,logged,loaded,logged
lonely,lonley,lonely,lonely,lonely
lovely,lovley,lovely,lovely,lovely
machine,machein,machine,machine,machine
magnificent,maginficent,magnificent,magnificent,magnificent
magnificent,magnifecint,magnificent,magnificent,magnifecint
mainly,mianly,mainly,mainly,mainly
manner,amnner,manner,manner,manner
mans,masn,main,man,man
maple,mapel,maple,maple,maple
marble,marbel,marble,marble,marble
married,marride,married,married,married
material,matariel,materiel,material,material
material,matieral,material,material,material
materially,matearilly,materially,materially,materially
materially,matierally,materially,materially,materially
mathematics,mathametics,mathematics,mathematics,mathematics
maudlin,mauldin,maudlin,maudlin,medium
melancholy,malencholy,melancholy,melancholy,melancholy
melancholy,melancohly,melancholy,melancholy,melancholy
mercenary,mercanery,mercenary,mercenary,mercenary
midnight,midnigth,midnight,midnight,midnight
minimum,miminum,minimum,minimum,minimum
minimum,minmium,minimum,minimum,minimum
minutes,minuets,minuets,minutes,minutes
miscellaneous,miscelleanous,miscellaneous,miscellaneous,miscelleanous
mischief,mischeif,mischief,mischief,mischief
model,modle,model,model,model
modern,morden,borden,modern,modern
mountain,mountian,mountain,mountain,mountain
mountainous,mountianous,mountainous,mountainous,mountainous
move,omve,move,move,move
museum,muesum,museum,museum,museum
museum,muusem,museum,museums,museum
mustn't,must'nt,mustn't,must ' nt,must
names,neams,teams,names,names
natural,natrual,natural,natural,natural
necessarily,necessairly,necessarily,necessarily,necessarily
necessarily,necessiarly,necessary,necessarily,necessarily
necessary,necassery,necessary,necessary,necessary
negotiations,negiotations,negotiations,negotiations,negotiations
neither,niether,neither,neither,neither
networks,netowrks,networks,networks,networks
niece,neice,nice,nice,nice
night,nigth,night,nine,night
ninetyninth,nintynineth,nintynineth,nintynineth,nintynineth
noble,nobel,nobel,noble,noble
noisy,niosy,noisy,noisy,noisy
noisy,nosiy,noisy,noisy,noisy
not,ont,ont,out,one
occasionally,occaisonally,occasionally,occasionally,occasionally
occasionally,occasonially,occasionally,occasionally,occasionally
of,fo,of,to,to
often,ofent,open,often,often
one,oen,on,one,one
only,olny,only,only,only
open,opne,one,open,one
operator,poerator,operator,operator,operators
opportunities,opprotunities,opportunities,opportunities,opportunities
opposite,oppoiste,opposite,opposite,opposite
oratorio,orotario,ontario,oratorio,orotario
order,oredr,order,order,order
ordinarily,ordinairly,ordinarily,ordinarily,ordinarily
ordinarily,ordiniarly,ordinary,ordinarily,ordinarily
ordinarily,oridinarly,originally,ordinarily,ordinarily
originally,orginially,originally,originally,originally
originally,origanilly,originally,originally,originally
originally,orignially,originally,originally,originally
overhead,overhaed,overhead,overhead,overhead
owl,olw,old,owl,old
own,onw,on,one,one
owner,onwer,owner,owner,owner
painful,pianful,painful,painful,painful
pamphlet,phamplet,hamlet,pamphlet,phamplet
pamphlets,phamplets,pamphlets,phamplets,phamplets
parallel,paralell,parallel,parallel,parallel
parents,perants,pedants,parents,parents
particular,partciular,particular,particular,particular
patch,pacth,path,patch,path
peculiar,peciular,secular,peculiar,peculiar
peculiar,pecuilar,peculiar,peculiar,peculiar
penguins,pengiuns,penguins,penguins,penguins
people,peopel,people,people,people
people,pepole,people,people,people
people,poeple,people,people,people
perceive,percieve,perceive,perceived,perceive
perceive,preceive,receive,perceives,precise
perforation,preforation,perforation,preforation,preforation
period,peroid,period,period,period
permanent,permenant,permanent,permanent,permanent
permanent,pernament,permanent,permanent,permanent
permanently,permannetly,permanently,permanently,permanently
permanently,permenantly,permanently,permenantly,permanently
perpetual,prepetual,perpetual,perpetual,perpetual
persuasion,persausion,persuasion,persuasion,persuasion
pervaded,prevaded,pervaded,preceded,prepared
pharaohs,pharoahs,pharaohs,pharaohs,pharaohs
philosophy,phiolosphy,philosophy,philosophy,philosophy
philosophy,pholosiphy,philosophy,philosophy,philosophy
physician,phycisian,physician,physician,physician
piano,paino,pain,piano,pain
piano,pinao,piano,piano,piano
pickle,pickel,picked,pickle,picket
picturesque,pictureques,picturesque,pictureques,pictures
picturesque,picturequse,picturesque,picturequse,picturequse
piece,peice,price,price,peace
pieces,peices,prices,prices,prices
pierce,peirce,peirce,fierce,pierce
pilot,piolt,pilot,pilot,pilot
pilot,pliot,pilot,pilot,pilot
pilot,polit,polit,polite,pilot
pitch,picth,pitch,pitch,pitch
pitcher,picther,pitcher,pitcher,pitcher
plagiarism,plaigarism,plagiarism,plagiarism,plagiarism
plan,paln,plan,plan,pain
plan,panl,paul,plan,panel
pneumonia,penumonia,pneumonia,pneumonia,pneumonia
pneumonia,peunmonia,pneumonia,pneumonia,pneumonia
pneumonia,pnemounia,pneumonia,pneumonia,pneumonia
pneumonia,pnenumoia,pneumonia,pneumonia,pneumonia
pneumonia,pneunomia,pneumonia,pneumonia,pneumonia
pneumonia,pnuemonia,pneumonia,pneumonia,pneumonia
pockets,pokects,projects,projects,projects
poem,peom,poem,from,from
poems,peoms,poems,peoms,proms
poems,pomes,pomes,poems,comes
poems,pomse,pose,poems,some
poetry,peotry,poetry,poetry,poetry
poetry,poerty,poetry,poverty,poverty
poetry,potery,poetry,pottery,pottery
poetry,potrey,poetry,poetry,poetry
poison,posion,poison,position,position
pork,prok,pro,pork,pork
potatoes,potateos,potatoes,potatoes,potatoes
precision,pricesion,precision,procession,precision
prefer,perfer,prefer,prefer,prefer
prejudice,perjudice,prejudice,prejudice,perjudice
prejudice,predjuice,prejudice,prejudice,prejudice
prejudice,predujice,prejudice,prejudice,prejudice
prejudice,prejduice,prejudice,prejudice,prejudice
prejudice,prejiduce,prejudice,prejudice,prejudice
prepared,prepeard,prepared,prepared,prepared
preserved,perserved,preserved,preserved,preserved
president's,presidents',presidents,presidents ',presidents '
pretend,pertend,pretend,pretended,pertend
pretend,prented,printed,printed,printed
pretend,pretned,pretend,pretend,pretend
pretend,prtened,preened,presented,printed
prevalent,prevelant,prevent,prevalent,prevalent
prevent,pervent,percent,prevent,percent
priest,preist,priest,priest,priest
primaeval,primeaval,primeval,primeval,primeaval
principles,principels,principles,principles,principles
prior,piror,prior,prior,piror
prisoners,prsioners,prisoners,prisoners,prisoners
privilege,privelige,privilege,privilege,privilege
privileged,priveliged,privileged,privileged,privileged
problem,porblem,problem,problem,problem
problem,probelm,problem,problem,problem
problem,promble,profile,problems,problems
procedure,procedeur,procedure,procedure,procedure
procedure,proceduer,procedure,procedure,procedure
procedure,proceedur,procedure,procedure,procedure
proceed,procede,proceed,proceeds,proceed
prologue,prolouge,prologue,prologue,prologue
provide,provied,provide,provided,provided
pseudonym,pseudynom,pseudonym,pseudonym,pseudynom
psychology,pyschology,psychology,psychology,psychology
pulse,pluse,plus,plus,plus
purple,purpel,purple,purple,purple
puzzle,puzzel,puzzle,puzzle,puzzle
quality,quailty,quality,quality,quality
questionnaire,questionniare,questionnaire,questionnaires,questionnaire
quietly,quitely,quietly,quietly,quietly
quite,queit,quiet,quiet,quiet
radically,radiaclly,radically,radically,radically
radio,raido,radio,radio,radio
read,raed,read,race,road
receipt,reciept,receipt,receipts,reflect
receipt,recipte,recipe,receipts,recipe
receipt,reicept,recept,receipts,receipt
receipts,reciepts,receipts,receipts,receipts
receipts,reciptes,recipes,receipts,recipients
receipts,riecepts,receipts,receipts,receipts
receive,recieve,receive,received,receive
received,recieved,received,received,received
receiver,reciever,receiver,receivers,receiver
receives,recieves,receives,received,receives
receiving,recieving,receiving,receiving,receiving
receptacle,receptacel,receptacle,receptacel,replaced
recognition,recgonition,recognition,recognition,recognition
recognition,recongition,recognition,recognition,recognition
recognize,recongize,recognize,recognize,recognize
refrigerator,refregirator,refrigerator,refrigerator,refrigerator
refuse,refues,refuse,refuse,refugees
regained,regianed,regained,regained,regained
region,reigon,region,region,religion
relevant,relavent,relevant,relevant,relevant
relief,reilef,relief,relief,relief
relief,releif,relief,relief,relief
relief,relife,relief,relief,relief
relieve,releive,receive,relieve,relieve
remember,rembemer,remember,remember,remember
remember,remebmer,remember,remember,remember
remember,remmeber,remember,remember,remember
remembrance,remmberance,remembrance,remembrance,remembrance
repairs,reparis,repairs,reports,repairs
reporter,reproter,reporter,reporter,reporter
reports,reoprts,reports,reports,reports
represent,repersent,represent,represent,represent
representatives,repersentatives,representatives,representatives,representatives
representatives,represnetatives,representatives,representatives,representatives
