correct_spelling,wrong_spelling,symspell_correction,bert_correction,lstm_cnn_correction
beautiful,butefull,butefull,beautiful,beautiful
beautiful,butfle,battle,beautiful,butfle
beautiful,butfll,bull,beautiful,beautiful
beautiful,butfull,outfall,beautiful,beautiful
beautiful,butifely,futilely,vividly,butifely
beautiful,butifill,butifill,beautiful,butifill
beautiful,butufal,mutual,brutal,beautiful
beautiful,buutivol,buutivol,beautiful,beautiful
beautiful,potefl,hotel,possible,potential
beautiful,ptafil,tail,profile,ptafil
beautiful,puteyful,puteyful,beautiful,beautiful
beautiful,putfull,outfall,hopefully,beautiful
beg,pach,each,pack,pace
bicycle,basical,basic,basically,basic
bicycle,bysical,physical,musical,musical
biscuits,beuscutes,beuscutes,biscuits,beuscutes
buried,bearraid,barmaid,buried,bearraid
cancellation,cansaltion,causation,cancellation,cancellation
cancellation,consalation,consolation,cancellation,consolation
cancellation,consulation,consultation,Consultation,consolation
cancelled,canssold,canssold,cancelled,canssold
cancelled,consiled,consoled,cancelled,consoled
cancelled,counciled,council,cancelled,council
cancelled,counseled,counselled,counseled,counseled
cancelling,counciling,coinciding,counseling,counselling
canvass,convice,convince,convinced,convince
capacity,cappst,cast,capacity,cappst
capacity,copasatey,copasatey,capacity,capacity
capacity,copusaty,copulate,capacity,capacity
capacity,cupasate,cupasate,capacity,capacity
catalogues,cattallogs,cattallogs,cattallogs,cattallogs
catalogues,cotologous,homologous,cotologous,cotologous
catalogues,cotologs,cytology,cotologs,cotologs
cease,sciece,science,science,science
cease,scis,sci,this,this
cease,siece,since,since,since
cease,sieze,size,size,size
ceased,seist,sexist,twist,sexist
ceased,sieced,pieced,seized,seized
ceased,siezed,sized,seized,seized
cemetery,cematrea,cematrea,cemetery,cematrea
cemetery,semetree,semetree,cemetery,semetree
cemetery,semitra,seminar,semitra,similar
cemetery,semitrea,eritrea,semitrea,semitrea
certain,sorton,norton,certain,certain
certainly,sartenly,sartenly,certainly,certainly
certainly,seartenlly,seartenlly,certainly,seartenlly
certainly,seartenly,seartenly,certainly,secretary
certainly,sertenley,serenely,certainly,certainly
certainly,sertenlly,serenely,certainly,certainly
certainly,sertonley,sertonley,certainly,certainly
certainly,sirtanley,stanley,certainly,certainly
certainly,sortenley,sortenley,certainly,sortenley
certainly,srtnly,srtnly,certainly,certainly
certainly,surtenly,suddenly,certainly,currently
chemistry,cumastrey,cumastrey,chemistry,cumastrey
chemistry,gymestry,gymestry,chemistry,chemistry
circling,sergleing,sergleing,sterling,sergleing
collateral,caladral,caladral,collateral,cathedral
collateral,clatreal,lateral,collateral,clatreal
collateral,coledural,coledural,coledural,coledural
collateral,qualatirol,qualatirol,qualatirol,qualatirol
collateral,qualetteral,qualetteral,qualetteral,qualetteral
comfortable,comvertbly,covertly,comfortable,comvertbly
committed,camdid,candid,committed,candid
committed,cometad,comet,committed,cometad
committees,coometes,comets,committees,coometes
community,cumnete,compete,community,community
comparatively,compareitivley,compareitivley,comparatively,compareitivley
completion,commplishion,commplishion,completion,commplishion
conditions,condishance,condishance,conditions,conditions
conscience,concenious,contentious,concenious,concenious
conscience,concinous,continuous,continuous,conscious
conscience,concionious,concionious,conscious,conclusions
conscience,conciouns,conscious,conciouns,conclusions
conscience,consceinus,conscious,consceinus,consceinus
conscience,conscioness,consciousness,conscioness,consciousness
conscience,consciouness,consciousness,consciousness,consciousness
conscience,consiouns,conscious,consiouns,conclusions
conscientious,conciounetious,conciounetious,conciounetious,conciounetious
conscientious,consentise,consents,consentise,consecutive
conscious,conciouious,conciouious,continuous,cautious
conscious,consuss,consuls,consensus,consensus
conscious,counisius,counisius,counisius,counisius
controversy,countirversay,countirversay,controversy,countirversay
convalescence,convelesans,convelesans,convelesans,convelesans
correspondence,corrsopandance,corrsopandance,correspondence,correspondence
countenance,countonanous,countonanous,countonanous,countonanous
courteous,courtiese,counties,courtesy,courthouse
courteous,curtace,surface,curtace,curtace
courteous,curties,curtis,curties,curtains
courteous,curtis,curtis,courtesy,curtains
courteous,curtise,curtis,courtesy,curtise
courteous,curtiss,curtiss,courtesy,curtiss
courteous,curtiuss,curtiss,curtiuss,curtiuss
courteous,curtuse,culture,courthouse,curtuse
courtesies,corteouses,courthouses,courthouse,corteouses
courtesies,corutussis,corutussis,corutussis,corutussis
courtesies,courteousys,courteous,courteousys,courteousys
courtesies,croutsey's,croutsey's,crochet ' s,croutsey 's
courtesies,currtises,curtiss,currtises,currtises
courtesies,curteoucys,curteoucys,contracts,curteoucys
courtesies,curteousys,curteousys,cautiously,curteousys
courtesies,curtices,cortices,curtices,curtices
courtesies,curticys,curtis,critics,curticys
courtesies,curtiousies,curtiousies,priorities,curtiousies
courtesies,curtiscis,curtiss,curtiscis,curtiscis
courtesies,curtiseys,curtiss,customers,curtiseys
courtesies,curtoseys,curtsey,curtoseys,curtoseys
courtesies,curtouseyes,curtouseyes,curtouseyes,curtouseyes
courtesy,courteious,courteous,courteous,curious
courtesy,courtious,courteous,courteous,curious
criticism,courtesisum,courtesisum,criticism,courtesisum
criticism,cretacesum,cretaceous,criticism,cretacesum
criticism,critisizime,critisizime,criticism,criticism
criticism,crittissisam,crittissisam,criticism,criticism
curiosity,couresoty,couresoty,curiosity,couresoty
curiosity,couresty,courtesy,courtesy,couresty
curiosity,courisouty,courisouty,curiosity,courisouty
curiosity,couroyousity,couroyousity,couroyousity,couroyousity
curiosity,curousatiy,curousatiy,accurately,curousatiy
curious,quearous,quearous,curious,quearous
curious,queours,aqueous,queours,curious
curious,quoreice,quoreice,curious,quoreice
curtain,kerten,kernel,certain,kerten
customary,costomarier,costomarier,costomarier,costomarier
debit,dippite,despite,despite,dispute
deficiencies,defficenciy's,defficenciy's,deficiency ' s,defficenciy 's
definite,deafnet,leaflet,deafnet,deafnet
definite,deffenet,deafened,different,different
definite,defunnet,defunct,defunnet,defunct
definite,dephenet,dephenet,dependent,depth
definite,diffent,different,different,different
definite,diffiant,defiant,different,different
definitely,deffenatly,deffenatly,definitely,definitely
definitely,deffentaily,deffentaily,definitely,deffentaily
definitely,diffinatly,diffinatly,definitely,diffinatly
definitely,diffineatily,diffineatily,definitely,diffineatily
definitely,diffinetly,diffinetly,definitely,differently
definitely,diffintaly,diffintaly,definitely,diffintaly
deny,deneigh,neigh,deny,deneigh
designed,desent,desert,decent,decent
designed,dicind,dicing,designed,diving
designed,disend,distend,designed,dividend
designed,disinde,divine,distance,disinde
designed,diznd,find,did,did
determined,detrement,detriment,detriment,detriment
determined,detrumend,detriment,determined,determined
difference,difrans,divans,difference,difference
different,deifrnt,defiant,different,different
difficulty,difcoulteye,difcoulteye,difficulty,difficulty
disappeared,disoperd,disoperd,disappeared,disoperd
disappointment,dissiapointmente,dissiapointmente,disappointment,disappointment
duly,dewelly,deeply,duly,dewelly
economical,acknomacail,acknomacail,acknomacail,acknomacail
economical,ecconnomicle,ecconnomicle,economical,ecconnomicle
economical,ekanomakale,ekanomakale,economics,ekanomakale
economics,equanomicks,equanomicks,economics,equanomicks
ecstasy,exiticy,exotic,ecstasy,exotic
ecstasy,extace,estate,extract,estate
ecstasy,extacee,extacee,extended,extacee
ecstasy,extasee,extasee,examples,extended
ecstasy,extecy,expect,expect,ecstasy
ecstasy,extessey,excesses,ecstasy,ecstasy
ecstasy,exticy,entity,extract,extra
ecstasy,extocy,extol,extract,extra
ecstasy,extousy,extols,extousy,extousy
efficiency,afficeance,afficeance,efficiency,efficiency
elementary,alamenteria,alamenteria,alamenteria,alamenteria
elementary,elamentrie,elamentrie,elementary,elamentrie
elementary,elementtorray,elementtorray,elementtorray,elementtorray
elementary,ellomontry,ellomontry,elementary,ellomontry
embarrassed,embarast,embarrass,embarrassed,embarrassed
embarrassed,embarest,embarks,embarrassed,embarrassed
embarrassed,embarrest,embarrass,embarrassed,embarrassed
embarrassed,embarst,embassy,embarrass,embarrassed
embarrassed,embbarrest,embbarrest,embarrassed,embarrassed
embarrassed,emparast,emparast,embarrassed,emparast
embarrassed,emprased,embraced,embarrassed,expressed
embarrassed,imbarist,marist,embarrassed,imbarist
enemy,ennamie,penname,enemies,enemy
enquire,inger,inner,finger,inner
enquire,ingurey,injury,injured,injured
enquire,inqer,inner,under,inner
enquire,inqerh,insert,injured,injury
enquire,inqoor,indoor,indoor,indoor
enthusiasm,entheseusem,entheseusem,enthusiasm,enthusiasm
enthusiasm,enthewseasem,enthewseasem,enthusiasm,enthewseasem
enthusiasm,enthouseazem,enthouseazem,enthusiasm,enthouseazem
enthusiasm,intheseasume,intheseasume,enthusiasm,intheseasume
enthusiasm,inthisasam,inthisasam,enthusiasm,enthusiasm
enthusiasm,inthuseasium,inthuseasium,enthusiasm,enthusiasm
enthusiastic,anthouseyastic,anthouseyastic,enthusiastic,anthouseyastic
enthusiastic,enthousyastike,enthousyastike,enthusiastic,enthousyastike
enthusiastic,inthoseastick,inthoseastick,enthusiastic,inthoseastick
enthusiastic,inthosyastike,inthosyastike,enthusiastic,inthosyastike
entrance,enterns,enters,interns,entered
equally,eackily,easily,easily,eackily
equally,eaqely,early,equally,equally
equally,eaqll,all,equally,well
equally,echwelly,echwelly,equally,echwelly
equally,eclie,ellie,exile,cycle
equally,ecwile,chile,equally,ecwile
equally,ecwiley,wiley,equally,equally
equally,egale,eagle,eagle,eagle
equally,egle,eagle,eagle,eagle
equally,egley,grey,equally,really
equally,egwly,early,equally,equally
equally,ekwely,ekwely,equally,ekwely
equally,eucuel,excel,equally,equal
equipped,acwiped,wiped,equipped,acwiped
equipped,aquipt,quiet,accept,equipped
equipped,ecquipt,equip,equip,equipment
equipped,egwipt,egypt,equipped,egwipt
equipped,eqept,event,except,except
equipped,eqiept,except,except,equipped
equipped,eqipt,edit,equipped,weight
equipped,equept,request,except,equipped
equipped,eqwipt,equip,equipped,equipped
especially,asbasaly,asbasaly,especially,easily
especially,aspacelly,aspacelly,especially,especially
especially,aspeasly,aspeasly,especially,especially
especially,espaiesly,espaiesly,especially,especially
especially,espeasily,espeasily,especially,especially
especially,espesely,espesely,especially,especially
especially,espesoly,espesoly,especially,especially
especially,espiesaly,espiesaly,especially,especially
especially,espisely,espisely,especially,especially
exaggerate,agsagerate,agsagerate,aggregate,agsagerate
exaggerate,exgareat,exgareat,exaggerated,exaggerate
exceptionally,acceptionly,acceptionly,exceptionally,acceptionly
exceptionally,acseptionly,acseptionly,exceptionally,exceptionally
exceptionally,exepshanly,exepshanly,exceptionally,exepshanly
exceptionally,exepshinalley,exepshinalley,exceptionally,exepshinalley
exceptionally,exeptianly,exeptianly,exceptionally,exceptionally
exhibition,exabishion,exabishion,exhibition,exabishion
exhibition,exabishon,exabishon,exhibition,exhibition
exhibition,exapishon,exapishon,exhibition,exapishon
exhibition,exbishion,excision,exhibition,exhibition
exhibition,excibeashon,excibeashon,exhibition,excibeashon
exhibition,exebechon,exebechon,exhibition,exhibition
exhibition,exebishen,exebishen,exhibition,exhibition
exhibition,exebishion,exebishion,exhibition,exhibition
exhibition,exebishon,exebishon,exhibition,exhibition
exhibition,exepishon,exepishon,exhibition,exhibition
exhibition,expetion,exception,expansion,expiration
existence,aegsistance,assistance,assistance,assistance
existence,aksistance,assistance,assistance,assistance
expenditure,acspanditure,acspanditure,expenditure,acspanditure
experience,ickspreans,ickspreans,ickspreans,ickspreans
explained,exeplande,exeplande,explained,exeplande
extraordinary,exterordanry,exterordanry,extraordinary,extraordinary
facilities,ficiltys,ficiltys,facilities,facilities
facilities,phasillities,phasillities,facilities,facilities
facilities,phesilaties,phesilaties,facilities,phesilaties
facilities,physcilities,physcilities,facilities,facilities
facilities,physialities,physialities,facilities,personalities
facilities,physilities,physilities,facilities,facilities
facilities,physiloties,physiloties,facilities,utilities
familiar,femeller,reseller,familiar,familiar
familiar,femilure,failure,familiar,familiar
familiar,fimaler,female,familiar,familiar
familiar,fmelera,feeler,familiar,fmelera
fascinating,fasenitaing,fasenitaing,fascinating,fasenitaing
favourite,faveret,wavelet,favourite,faveret
favourite,favirot,favirot,favorite,favorite
fight,vite,site,vote,vote
financially,financel,finance,financial,financial
financially,finiancely,finiancely,financially,financially
fraternally,firternily,firternily,formerly,firternily
fraternally,firturnaly,firturnaly,fortunately,firturnaly
fraternally,fretrunly,fretrunly,preferably,frequently
fraternally,freturnily,freturnily,fortunately,freturnily
fraternally,frewturnaly,frewturnaly,frewturnaly,frewturnaly
fraternally,frturnly,frturnly,fortunately,frturnly
fraternally,fryturnely,fryturnely,furtively,fryturnely
fraternally,furturnlly,furturnlly,furtively,furturnlly
frightened,firtend,friend,frightened,firtend
frightened,fridend,friend,friends,friends
frightened,fritnd,friend,frightened,friend
frightened,fritond,friend,frightened,fritond
frightened,fry_tuned,fry_tuned,fry - tuned,frightened
gallery,galrwe,gale,failure,gallery
galloped,galapt,galaxy,fall,galapt
galloped,galept,alert,fall,galept
galloped,galpt,salt,fall,golf
galloped,glpt,glut,kept,got
genius,jeanues,jeans,jeanues,jeanues
genius,jeanes,jeans,jeans,genes
genius,jeyionus,jeyionus,genius,jeyionus
geometry,gematree,gumtree,geometry,gematree
gorgeous,goyorges,georges,gorgeous,goyorges
great,carot,cart,great,carrot
great,coird,cord,great,cord
great,garte,gate,great,targets
grippe,quirp,quirk,quirp,quirk
guarantee,carente,charente,guarantee,carente
guarantee,carinte,marine,guarantee,carinte
guarantee,carrentie,carrentie,guarantee,carrentie
guarantee,gareente,greene,guarantee,guarantee
guarantee,garennte,garonne,guarantee,guarantee
guarantee,garent,parent,parent,parent
guarantee,garenty,parents,currently,garenty
guarantee,garinty,variety,garinty,garinty
guarantee,garnete,garnet,guarantee,garnete
guarantee,garonty,guaranty,county,garonty
guarantee,garranty,warranty,garranty,garranty
guarantee,garrent,garment,garment,garrent
guarantee,garrente,garment,guarantee,guarantee
guarantee,garuenty,garment,currently,garuenty
guarantee,garunate,marinate,guarantee,garunate
guarantee,gaurnte,garnet,guarantee,gaurnte
guarantee,gaurntie,auntie,guarantee,guarantee
guarantee,gerenttee,gerenttee,guarantee,gerenttee
guarantee,granaette,granaette,guarantee,granaette
guarantee,granty,grant,granty,granite
guarantee,grenty,great,greatly,grenty
guarantee,grounte,ground,guarantee,ground
guarantee,guarrenty,guaranty,currently,currently
guarantee,guorronte,guorronte,guarantee,guorronte
guaranteed,gareentied,gareentied,guaranteed,guaranteed
guaranteed,garentee-ed,garentee-ed,guarantee - ed,guarantee - and
guaranteed,garintet,garnet,guaranteed,guaranteed
guaranteed,garrented,arrested,guaranteed,guaranteed
guaranteed,gaurontied,guarantied,confronted,gaurontied
guaranteed,gurnetted,gurnetted,guarantee,guaranteed
guardian,garddein,garden,guardian,guardian
guardian,gaurdain,guardian,guardian,guardian
guardian,gaurdane,gaurdane,guaranteed,gaurdane
guardian,gaurdine,gardiner,guarding,gaurdine
guardian,gurriden,gurriden,surgeon,gurriden
harassed,harest,harvest,harvest,hardest
harassed,harist,marist,harvest,harist
harassed,harrast,harris,harassed,harassed
harassed,harrest,harvest,harassed,hardest
harassed,harriest,harriet,harassed,harriest
harassed,harrist,harris,harassed,terrorist
harassed,harrost,harris,harassed,terrorist
height,hid,hid,hid,is
height,hite,site,white,white
hydraulic,hidrrawlik,hidrrawlik,hydraulic,hidrrawlik
immediately,amedditly,amedditly,immediately,immediately
immediately,amedettlee,amedettlee,immediately,amedettlee
immediately,ameideitly,ameideitly,immediately,immediately
immediately,amiedeatly,amiedeatly,immediately,immediately
immediately,emdiatley,mediately,immediately,immediately
immediately,emeadeately,emeadeately,immediately,immediately
immediately,emedatly,emedatly,immediately,immediately
immediately,emedetly,emedetly,immediately,immediately
immediately,emidetly,evidently,immediately,immediately
immediately,emidiotly,emidiotly,immediately,immediately
immediately,imadeatly,imadeatly,immediately,immediately
immediately,imdetly,imdetly,immediately,immediately
immediately,imeadietly,imeadietly,immediately,immediately
immediately,imeaditly,imeaditly,immediately,immediately
immediately,imeadittly,imeadittly,immediately,immediately
immediately,imeddutily,imeddutily,immediately,immediately
immediately,imedetley,imedetley,immediately,immediately
immediately,imedetly,imedetly,immediately,immediately
immediately,imediedtly,imediedtly,immediately,immediately
immediately,imidatly,imidatly,immediately,immediately
immediately,imidietly,imidietly,immediately,immediately
immediately,immeedeatley,immeedeatley,immediately,immediately
immensely,imencily,imencily,immensely,immensely
immensely,emancely,emanuel,immediately,emancely
immensely,emansly,manly,immensely,emansly
immensely,emeansly,measly,enormously,emeansly
immensely,emencelly,emencelly,immensely,emencelly
immensely,emencially,emencially,incidentally,emencially
immensely,emencialy,emencialy,eventually,emencialy
immensely,emencily,emencily,immensely,emencily
immensely,emensley,hensley,immensely,emensley
immensely,emensouly,emensouly,immensely,emensouly
immensely,emincely,princely,immensely,emincely
immensely,eminsily,eminsily,immensely,eminsily
immensely,eminsly,emily,immensely,immensely
immensely,immencially,immencially,incidentally,immencially
incidentally,ensedently,ensedently,incidentally,independently
incidentally,ensidently,evidently,incidentally,evidently
incidentally,incediently,incediently,incidentally,incidentally
incidentally,incedintely,incedintely,incidentally,incidentally
incidentally,insedently,inherently,independently,independently
incidentally,insedintly,insedintly,independently,incidentally
incidentally,insidenately,insidenately,incidentally,indefinitely
incidentally,insodently,insolently,independently,independently
inconvenienced,inconvienenst,inconvienenst,inconvenient,inconvienenst
indefinite,endiffinate-,endiffinate-,endiffinate -,endiffinate-
indefinite,indeafant,indeafant,inadequate,infant
indefinite,indeffent,indecent,indifferent,indifferent
indefinite,indevenet,indecent,independent,independent
indefinite,indifenet,indigent,indefinite,indifenet
indefinite,indifennate,indifennate,independent,indefinite
indefinite,indiffent,indifferent,indifferent,indifferent
indefinite,indiffiant,indiffiant,indifferent,indifferent
indefinitely,endeffently,endeffently,indefinitely,independently
indefinitely,indeffantly,indeffantly,indefinitely,indeffantly
indefinitely,indeffentaly,indeffentaly,indefinitely,indeffentaly
indefinitely,indeffently,indecently,indefinitely,indeffently
indefinitely,indifenatly,indifenatly,indefinitely,indefinitely
indefinitely,indifentally,incidentally,incidentally,indifentally
indefinitely,indiffenately,indiffenately,indefinitely,indefinitely
indefinitely,indiffenatly,indiffenatly,indefinitely,indefinitely
indefinitely,indiffently,indifferently,indefinitely,indiffently
indefinitely,indifinetally,indifinetally,indefinitely,indefinitely
indefinitely,indivently,indirectly,indefinitely,indivently
infinite,infaent,infant,infinite,infant
initials,eneshals,eneshals,initials,eneshals
initials,enneshals,enneshals,enneshals,enneshals
initials,inashles,insoles,installed,inashles
initials,ineshules,ineshules,ineshules,ineshules
intellectual,intoilectioal,intoilectioal,intellectual,intoilectioal
intellectual,intolectiuial,intolectiuial,intellectual,intolectiuial
irresistible,erasistoble,erasistoble,irresistible,erasistoble
irresistible,erisistable,erisistable,erisistable,irresistible
irresistible,ersistable,ersistable,irresistible,ersistable
irresistible,erysistable,erysistable,irresistible,irresistible
itemized,atmiste,artiste,admitted,artists
jeopardize,jeprodise,jeprodise,jeopardize,jeprodise
juice,jes,yes,yes,yes
juice,joos,jobs,good,jobs
juice,jos,jos,jobs,jobs
knife,nighf,night,night,night
leisure,lesiar,lesbian,leisure,leisure
leisure,luser,user,laser,laser
lights,lates,rates,last,last
machine,meshien,meshes,machine,machine
machine,mishn,might,machine,mission
magnificent,magnefesant,magnefesant,magnificent,magnefesant
magnificent,magnefsant,magnefsant,magnificent,magnefsant
